scholarship_name,provider,country,degree_level,field,min_cgpa_10,funding_type,funding_tags,funding_details,deadline,required_documents,official_url,eligibility_notes
International Student Academic Scholarship,Caldwell University,USA,Bachelor's,All fields,7.0,Partial Funding,partial,"$20,000–$30,000 per year; renewable up to 4 years",Varies,Academic transcripts; admission application; English proficiency,https://educationusa.state.gov/scholarships/international-student-academic-scholarship,Academic scholarship; verify current cycle.
Main Street Scholarship,Capital University,USA,Bachelor's,All fields,6.5,Partial Funding,partial,"$20,000–$25,000 per year; renewable for four years",Varies,Admission application; academic records; English proficiency,https://educationusa.state.gov/scholarships/main-street-scholarship,EducationUSA listing states minimum 2.5 GPA; CGPA shown here is a 10-point benchmark.
Global Presidential Scholarship,University of Lynchburg,USA,Bachelor's,All fields,7.5,Partial Funding,partial,"Up to $31,000 per year; renewable for four years",Varies,Admission application; academic records; English proficiency,https://educationusa.state.gov/scholarships/global-presidential-scholarship,International undergraduate award; campus residency required.
International Grants,Pacific Lutheran University,USA,Bachelor's,All fields,7.0,Partial Funding,partial,Up to 65% of cost of attendance; award varies by level,Varies,Admission application; academic records; English proficiency,https://educationusa.state.gov/scholarships/international-grants,EducationUSA listing includes undergraduate eligibility.
International Grants,Pacific Lutheran University,USA,Master's,All fields,7.0,Partial Funding,partial,Up to 65% of cost of attendance; award varies by level,Varies,Admission application; academic records; English proficiency,https://educationusa.state.gov/scholarships/international-grants,EducationUSA listing includes graduate eligibility.
International Grants,Pacific Lutheran University,USA,PhD,All fields,7.0,Partial Funding,partial,Up to 65% of cost of attendance; award varies by level,Varies,Admission application; academic records; English proficiency,https://educationusa.state.gov/scholarships/international-grants,EducationUSA listing includes doctorate eligibility.
Knight-Hennessy Scholars,Stanford University,USA,Master's,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition/fees plus living and academic expenses and travel support for up to three years,Varies,Stanford graduate application; KHS application; references; essays,https://knight-hennessy.stanford.edu/program-overview/funding,Graduate scholarship; admission to a Stanford graduate degree is required.
Knight-Hennessy Scholars,Stanford University,USA,PhD,All postgraduate fields,8.0,Full Funding,"full,tuition,living",Tuition/fees plus living and academic expenses and travel support for up to three years,Varies,Stanford graduate application; KHS application; references; essays,https://knight-hennessy.stanford.edu/program-overview/funding,Graduate scholarship; admission to a Stanford graduate degree is required.
Fulbright Foreign Student Program,U.S. Department of State,USA,Master's,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Funding package varies by country/program and may cover tuition, living and travel",Varies,Application; transcripts; references; study/research proposal; English evidence,https://foreign.fulbrightonline.org/,Eligibility and deadlines vary by home country.
Fulbright Foreign Student Program,U.S. Department of State,USA,PhD,All postgraduate fields,7.5,Full Funding,"full,tuition,living","Funding package varies by country/program and may cover tuition, living and travel",Varies,Application; transcripts; references; study/research proposal; English evidence,https://foreign.fulbrightonline.org/,Eligibility and deadlines vary by home country.
AAUW International Fellowships,AAUW,USA,Master's,All postgraduate fields,7.5,Full Funding,"full,living",Fellowships for international women pursuing graduate study in the United States,Varies,Academic records; recommendations; essays; proof of citizenship,https://www.aauw.org/resources/programs/fellowships-grants/current-fellowships/,Restricted to women who are not U.S. citizens or permanent residents.
AAUW International Fellowships,AAUW,USA,PhD,All postgraduate fields,7.5,Full Funding,"full,living",Fellowships for international women pursuing graduate study in the United States,Varies,Academic records; recommendations; essays; proof of citizenship,https://www.aauw.org/resources/programs/fellowships-grants/current-fellowships/,Restricted to women who are not U.S. citizens or permanent residents.
